{	O,O,O
{	O,O,O
ज्ञानसन्दूक	O,O,O
व्यक्ति	O,O,O
.	O,O,O

भारतीय	O,O,O
]	O,O,O
]	O,O,O
.	O,O,O

भारतीय	O,O,O
स्वतंत्रता	O,O,O
आंदोलन	O,O,O
]	O,O,O
]	O,O,O
के	O,O,O
एक	O,O,O
प्रमुख	O,O,O
राजनैतिक	O,O,O
एवं	O,O,O
आध्यात्मिक	O,O,O
नेता	O,O,O
थे	O,O,O
.	O,O,O

आजादी	O,O,O
]	O,O,O
]	O,O,O
दिलाकर	O,O,O
पूरी	O,O,O
दुनिया	O,O,O
में	O,O,O
जनता	O,O,O
के	O,O,O
नागरिक	O,O,O
अधिकारों	O,O,O
एवं	O,O,O
स्वतंत्रता	O,O,O
के	O,O,O
प्रति	O,O,O
आंदोलन	O,O,O
के	O,O,O
लिए	O,O,O
प्रेरित	O,O,O
किया	O,O,O
.	O,O,O

उन्हें	O,O,O
दुनिया	O,O,O
में	O,O,O
आम	O,O,O
जनता	O,O,O
'	O,O,O
'	O,O,O
'	O,O,O
महात्मा	B-PERSON,B-INDIVIDUAL,B-TITLE
गांधी	O,O,O
'	O,O,O
'	O,O,O
'	O,O,O
के	O,O,O
नाम	O,O,O
से	O,O,O
जानती	O,O,O
है	O,O,O
.	O,O,O

रवीन्द्रनाथ	B-PERSON,B-INDIVIDUAL,O
टेगौर	I-PERSON,I-INDIVIDUAL,O
]	O,O,O
]	O,O,O
ने	O,O,O
प्रयोग	O,O,O
किया	O,O,O
और	O,O,O
भारत	O,O,O
में	O,O,O
उन्हें	O,O,O
'	O,O,O
'	O,O,O
बापू	O,O,O
'	O,O,O
'	O,O,O
के	O,O,O
नाम	O,O,O
से	O,O,O
भी	O,O,O
याद	O,O,O
किया	O,O,O
जाता	O,O,O
है	O,O,O
.	O,O,O

अंतरराष्ट्रीय	O,O,O
अहिंसा	O,O,O
दिवस	O,O,O
]	O,O,O
]	O,O,O
के	O,O,O
नाम	O,O,O
से	O,O,O
मनाया	O,O,O
जाता	O,O,O
